start_lr,seed,epoch,epoch_lr,train_loss,test_loss,test_correct,test_accuracy,epoch_time_sec
0.002154434690031884,3,6,,0.15423949080705643,0.13864302139282225,9592,95.92,21.76699471473694
0.002154434690031884,3,7,,0.1360567969272534,0.12367146644592285,9628,96.28,21.733193397521973
0.002154434690031884,3,8,,0.11998578128417332,0.11167685852050781,9659,96.59,22.117352724075317
0.002154434690031884,3,9,,0.10792039051850637,0.10695710716247558,9685,96.85,21.781771421432495
0.002154434690031884,3,10,,0.09841549021502335,0.09838472824096679,9704,97.04,21.74528408050537
0.002154434690031884,4,1,,0.8007885063966115,0.3239513122558594,9093,90.93,33.071229219436646
0.002154434690031884,4,2,,0.3016159684101741,0.25730738372802736,9273,92.73,21.398884057998657
0.002154434690031884,4,3,,0.24693161651293435,0.2109397575378418,9413,94.13,21.490199089050293
0.002154434690031884,4,4,,0.20862540072600047,0.20547549514770508,9404,94.04,21.541429042816162
0.002154434690031884,4,5,,0.1806078312397003,0.15976416702270507,9530,95.3,21.489704847335815
0.002154434690031884,4,6,,0.1592688059647878,0.13846647567749024,9585,95.85,21.74541211128235
0.002154434690031884,4,7,,0.14122136743267377,0.12602909622192382,9628,96.28,21.465821504592896
0.002154434690031884,4,8,,0.1273542094786962,0.11520124320983886,9646,96.46,21.441035985946655
0.002154434690031884,4,9,,0.11485319611231486,0.11299143371582031,9663,96.63,21.512046575546265
0.002154434690031884,4,10,,0.10512405951619148,0.103794970703125,9685,96.85,21.45671582221985
0.00464158883361278,0,1,,0.6078138771931331,0.27236614837646483,9205,92.05,33.040112257003784
0.00464158883361278,0,2,,0.23763691689570746,0.19290341033935546,9416,94.16,21.52509379386902
0.00464158883361278,0,3,,0.17484985046784082,0.1441280387878418,9586,95.86,21.502899885177612
0.00464158883361278,0,4,,0.13605626642306645,0.12349279747009277,9629,96.29,21.939168214797974
0.00464158883361278,0,5,,0.11068598876595497,0.11740214614868164,9645,96.45,21.58936095237732
0.00464158883361278,0,6,,0.09237957706451416,0.0854809549331665,9726,97.26,22.661251544952393
0.00464158883361278,0,7,,0.07968994832883279,0.07775861682891845,9752,97.52,23.078510761260986
0.00464158883361278,0,8,,0.06968662027319272,0.07060341091156005,9775,97.75,21.569292783737183
0.00464158883361278,0,9,,0.06232960497438907,0.0675629529953003,9765,97.65,21.642104387283325
0.00464158883361278,0,10,,0.05611373435457547,0.060060682201385496,9812,98.12,21.644269227981567
0.00464158883361278,1,1,,0.5180824024836223,0.29023715515136717,9135,91.35,34.48509883880615
0.00464158883361278,1,2,,0.22979655170838037,0.18594570236206054,9471,94.71,21.587782382965088
0.00464158883361278,1,3,,0.16947280666828154,0.159418505859375,9509,95.09,21.502452611923218
0.00464158883361278,1,4,,0.13518630663156508,0.11224129104614258,9664,96.64,21.694206714630127
0.00464158883361278,1,5,,0.1122141962726911,0.09869456939697266,9697,96.97,21.541815757751465
0.00464158883361278,1,6,,0.0968973082125187,0.10841026000976563,9655,96.55,21.8425452709198
0.00464158883361278,1,7,,0.0854846522718668,0.08291909217834473,9755,97.55,21.59106135368347
0.00464158883361278,1,8,,0.07644231369098027,0.10125921058654785,9702,97.02,21.654512405395508
0.00464158883361278,1,9,,0.06845900952716669,0.07818484497070312,9756,97.56,21.58986258506775
0.00464158883361278,1,10,,0.06363686061650514,0.06770881958007813,9780,97.8,21.931403875350952
0.00464158883361278,2,1,,0.6226298479239146,0.2674006233215332,9227,92.27,32.78974890708923
0.00464158883361278,2,2,,0.2411006831884384,0.20299727859497071,9395,93.95,21.481237649917603
0.00464158883361278,2,3,,0.17946878799200058,0.15321063537597657,9542,95.42,21.4025297164917
0.00464158883361278,2,4,,0.14163718484242757,0.13178756904602051,9585,95.85,21.499347448349
0.00464158883361278,2,5,,0.11636013484001159,0.10513370208740234,9689,96.89,21.5523784160614
0.00464158883361278,2,6,,0.099148550529778,0.09321143264770508,9715,97.15,21.5213885307312
0.00464158883361278,2,7,,0.0855270547280709,0.09546234855651856,9709,97.09,21.471596717834473
0.00464158883361278,2,8,,0.07598640464146932,0.0772752986907959,9755,97.55,21.72945475578308
0.00464158883361278,2,9,,0.0678531175310413,0.07068723850250244,9763,97.63,21.466867208480835
0.00464158883361278,2,10,,0.060746701276302335,0.0677581693649292,9768,97.68,21.546692848205566
0.00464158883361278,3,1,,0.5974416819254558,0.29852408294677735,9116,91.16,33.13119077682495
0.00464158883361278,3,2,,0.2342215438961983,0.1779562156677246,9494,94.94,21.513587951660156
0.00464158883361278,3,3,,0.16851227693160375,0.1498872360229492,9567,95.67,21.55465078353882
0.00464158883361278,3,4,,0.131697127922376,0.10993769149780273,9668,96.68,21.64961814880371
0.00464158883361278,3,5,,0.10721541866560777,0.10374925918579102,9677,96.77,21.722748517990112
0.00464158883361278,3,6,,0.09021711369156837,0.08437467269897461,9744,97.44,21.668318033218384
0.00464158883361278,3,7,,0.07967303978651762,0.07663265705108642,9765,97.65,21.555907249450684
0.00464158883361278,3,8,,0.06968140659580628,0.06802940635681153,9783,97.83,21.603301286697388
0.00464158883361278,3,9,,0.06289838772565126,0.06632292747497559,9803,98.03,21.544460773468018
0.00464158883361278,3,10,,0.05726190215001504,0.06672087249755859,9799,97.99,21.54283618927002
0.00464158883361278,4,1,,0.5466638253132502,0.26973546905517576,9257,92.57,33.10402488708496
0.00464158883361278,4,2,,0.23296249840656916,0.19703183135986327,9412,94.12,21.517712354660034
0.00464158883361278,4,3,,0.17645928418636322,0.14849168701171875,9575,95.75,21.821840524673462
0.00464158883361278,4,4,,0.14091326801379522,0.14041588287353515,9558,95.58,21.72106122970581
0.00464158883361278,4,5,,0.11752428266207376,0.10494914588928222,9692,96.92,21.55802631378174
0.00464158883361278,4,6,,0.10070958758393923,0.08849571266174316,9733,97.33,21.685801029205322
0.00464158883361278,4,7,,0.0870667737826705,0.0771627613067627,9766,97.66,22.29164958000183
0.00464158883361278,4,8,,0.0765933230360349,0.07247260131835938,9759,97.59,22.688088417053223
0.00464158883361278,4,9,,0.06848195914775133,0.07046595420837402,9772,97.72,21.814878225326538
0.00464158883361278,4,10,,0.06146170324931542,0.06751739463806153,9790,97.9,21.641324996948242
0.010000000000000002,0,1,,0.43458040944337845,0.19687506942749022,9409,94.09,34.41938829421997
0.010000000000000002,0,2,,0.16111866555213927,0.12485740661621093,9617,96.17,21.515403985977173
0.010000000000000002,0,3,,0.10682266983588537,0.0924718536376953,9730,97.3,21.613911628723145
0.010000000000000002,0,4,,0.07951977702478567,0.07571169090270996,9756,97.56,21.717569589614868
0.010000000000000002,0,5,,0.06372833369076251,0.05992965106964111,9796,97.96,21.54073429107666
